project_id,project_name,project_size,actual_%,eac_%,rf_%,arima_%,eac_error,rf_error,arima_error,best_model,prediction_period,total_periods
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.5426,,1.1535,0.8413,,RF,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,7.216,,1.1535,1.5147,,EAC,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.0696,,1.1535,0.3683,,RF,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.0696,,1.1535,0.3683,,RF,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.0696,,1.1535,0.3683,,RF,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.5426,,1.1535,0.8413,,RF,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.5426,,1.1535,0.8413,,RF,5,22
11,C2011-07 Patient Transport System,small,5.7013,4.5478,6.5426,,1.1535,0.8413,,RF,5,22
23,C2013-10 Town Square,large,2.5145,-65.035,-5.9918,,67.5495,8.5063,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-5.8228,,67.5495,8.3373,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-5.8228,,67.5495,8.3373,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-5.8228,,67.5495,8.3373,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-3.3296,,67.5495,5.8441,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-7.4793,,67.5495,9.9938,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-7.4793,,67.5495,9.9938,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-7.4793,,67.5495,9.9938,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-10.1499,,67.5495,12.6644,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-10.1499,,67.5495,12.6644,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,-10.1499,,67.5495,12.6644,,RF,6,29
23,C2013-10 Town Square,large,2.5145,-65.035,,-87.2444,67.5495,,89.7589,EAC,6,29
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,-0.1353,,5.0253,5.1706,,EAC,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,-0.0965,,5.0253,5.1318,,EAC,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,-0.0965,,5.0253,5.1318,,EAC,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,-0.0965,,5.0253,5.1318,,EAC,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,0.7749,,5.0253,4.2604,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,0.1493,,5.0253,4.886,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,0.1493,,5.0253,4.886,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,0.1493,,5.0253,4.886,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,1.6363,,5.0253,3.399,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,1.6363,,5.0253,3.399,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,1.6363,,5.0253,3.399,,RF,7,35
28,C2014-04 Compressor Station Zelzate,large,5.0353,0.01,,-28.6995,5.0253,,33.7348,EAC,7,35
32,C2015-06 Family Residence (2),small,29.5349,29.6344,18.9529,,0.0995,10.582,,EAC,3,9
32,C2015-06 Family Residence (2),small,29.5349,29.6344,19.205,,0.0995,10.3299,,EAC,3,9
32,C2015-06 Family Residence (2),small,29.5349,29.6344,19.205,,0.0995,10.3299,,EAC,3,9
